Al0.43478261,Cu0.08695652,Ti0.43478261,V0.04347826
Al0.4,Cu0.12,V0.4,Zr0.08
Al0.28571429,Cu0.22857143,Nb0.2,Ti0.28571429
Al0.3125,Cu0.3125,Nb0.125,V0.25
Al0.33333333,Fe0.33333333,Mn0.16666667,Nb0.16666667
Al0.35714286,Hf0.03571429,Mo0.25,Zr0.35714286
Al0.41666667,Hf0.08333333,Mo0.08333333,Nb0.41666667
Al0.35714286,Hf0.10714286,Mn0.35714286,Ti0.17857143
Al0.35714286,Hf0.14285714,Nb0.14285714,V0.35714286
Al0.34482759,Hf0.13793103,Nb0.17241379,Ti0.34482759
Al0.38461538,Mn0.03846154,Nb0.19230769,V0.38461538
Al0.29411765,Mn0.11764706,Ni0.29411765,V0.29411765
Al0.28571429,Mn0.17142857,Ni0.28571429,Zr0.25714286
Al0.33333333,Mn0.2,V0.13333333,Zr0.33333333
Al0.29411765,Mn0.26470588,Mo0.29411765,Ti0.14705882
Al0.34482759,Ti0.34482759,V0.20689655,W0.10344828
Al0.76923077,Co0.07692308,Mn0.07692308,Ni0.07692308
Al0.35714286,Co0.03571429,Ti0.35714286,Zr0.25
Al0.76923077,Co0.07692308,W0.07692308,Zr0.07692308
Al0.45454545,Co0.09090909,Cr0.22727273,W0.22727273
Al0.47619048,Co0.0952381,Mn0.04761905,V0.38095238
Al0.38461538,Co0.07692308,Nb0.30769231,Ni0.23076923
Al0.35714286,Co0.10714286,Fe0.28571429,Zr0.25
Al0.29411765,Co0.11764706,Fe0.29411765,Ti0.29411765
Al0.5,Co0.25,Cu0.05,Nb0.2
Al0.45454545,Co0.22727273,Hf0.04545455,Mn0.27272727
Al0.33333333,Co0.2,Fe0.2,V0.26666667
Al0.3030303,Co0.18181818,Ni0.27272727,Zr0.24242424
Al0.35714286,Co0.25,Cr0.17857143,Ti0.21428571
Al0.34482759,Co0.24137931,Cr0.20689655,Mn0.20689655
Al0.3030303,Co0.21212121,Cr0.27272727,Ni0.21212121
Al0.32258065,Co0.22580645,Fe0.22580645,Ti0.22580645
Al0.3030303,Co0.21212121,Fe0.27272727,Mn0.21212121
Al0.3125,Co0.21875,Hf0.1875,Mn0.28125
Al0.38461538,Co0.26923077,Mn0.23076923,Ni0.11538462
Al0.3030303,Co0.21212121,Nb0.21212121,Zr0.27272727
Al0.29411765,Co0.23529412,Mn0.23529412,Ti0.23529412
Al0.3030303,Co0.24242424,Ti0.27272727,Zr0.18181818
Al0.33333333,Co0.26666667,V0.2,Zr0.2
Al0.3030303,Co0.27272727,Hf0.18181818,Mn0.24242424
Al0.3030303,Co0.27272727,Hf0.18181818,Mo0.24242424
Al0.38461538,Co0.34615385,Mn0.23076923,V0.03846154
Al0.34482759,Co0.31034483,Ti0.24137931,Zr0.10344828
Al0.32258065,Co0.32258065,Cu0.19354839,Ti0.16129032
Al0.35714286,Co0.35714286,Fe0.03571429,W0.25
Al0.35714286,Cr0.03571429,Mn0.28571429,Mo0.32142857
Al0.35714286,Cr0.07142857,Hf0.28571429,Ni0.28571429
Al0.34482759,Cr0.06896552,Hf0.34482759,Ti0.24137931
Al0.41666667,Cr0.08333333,Mo0.08333333,Ti0.41666667
